lenguaje,n,escenario,q,ordenar_ns,lineal_ns,binaria_ns,total_lineal_modelado_ns,total_binaria_modelado_ns,q_minimo_estimado
C++,100,ausente,1,331.0,60.0,30.0,60.0,361.0,12.0
C++,100,ausente,1000,331.0,60.0,30.0,60000.0,30331.0,12.0
C++,100,centro,1,331.0,40.0,30.0,40.0,361.0,34.0
C++,100,centro,1000,331.0,40.0,30.0,40000.0,30331.0,34.0
C++,100,final,1,331.0,55.5,30.0,55.5,361.0,13.0
C++,100,final,1000,331.0,55.5,30.0,55500.0,30331.0,13.0
C++,100,inicio,1,331.0,20.0,30.0,20.0,361.0,
C++,100,inicio,1000,331.0,20.0,30.0,20000.0,30331.0,
C++,1000,ausente,1,7366.0,300.0,30.5,300.0,7396.5,28.0
C++,1000,ausente,1000,7366.0,300.0,30.5,300000.0,37866.0,28.0
C++,1000,centro,1,7366.0,170.0,35.5,170.0,7401.5,55.0
C++,1000,centro,1000,7366.0,170.0,35.5,170000.0,42866.0,55.0
C++,1000,final,1,7366.0,300.0,30.0,300.0,7396.0,28.0
C++,1000,final,1000,7366.0,300.0,30.0,300000.0,37366.0,28.0
C++,1000,inicio,1,7366.0,30.0,30.0,30.0,7396.0,
C++,1000,inicio,1000,7366.0,30.0,30.0,30000.0,37366.0,
C++,10000,ausente,1,332522.5,2744.0,40.0,2744.0,332562.5,123.0
C++,10000,ausente,1000,332522.5,2744.0,40.0,2744000.0,372522.5,123.0
C++,10000,centro,1,332522.5,1392.0,40.0,1392.0,332562.5,246.0
C++,10000,centro,1000,332522.5,1392.0,40.0,1392000.0,372522.5,246.0
C++,10000,final,1,332522.5,2744.0,40.0,2744.0,332562.5,123.0
C++,10000,final,1000,332522.5,2744.0,40.0,2744000.0,372522.5,123.0
C++,10000,inicio,1,332522.5,30.0,40.0,30.0,332562.5,
C++,10000,inicio,1000,332522.5,30.0,40.0,30000.0,372522.5,
C++,100000,ausente,1,3821658.0,27140.0,50.0,27140.0,3821708.0,142.0
C++,100000,ausente,1000,3821658.0,27140.0,50.0,27140000.0,3871658.0,142.0
C++,100000,centro,1,3821658.0,13590.0,55.0,13590.0,3821713.0,283.0
C++,100000,centro,1000,3821658.0,13590.0,55.0,13590000.0,3876658.0,283.0
C++,100000,final,1,3821658.0,27140.0,50.0,27140.0,3821708.0,142.0
C++,100000,final,1000,3821658.0,27140.0,50.0,27140000.0,3871658.0,142.0
C++,100000,inicio,1,3821658.0,30.0,50.0,30.0,3821708.0,
C++,100000,inicio,1000,3821658.0,30.0,50.0,30000.0,3871658.0,
C++,500000,ausente,1,19209288.0,135951.5,70.0,135951.5,19209358.0,142.0
C++,500000,ausente,1000,19209288.0,135951.5,70.0,135951500.0,19279288.0,142.0
C++,500000,centro,1,19209288.0,67980.0,75.5,67980.0,19209363.5,283.0
C++,500000,centro,1000,19209288.0,67980.0,75.5,67980000.0,19284788.0,283.0
C++,500000,final,1,19209288.0,135877.0,90.0,135877.0,19209378.0,142.0
C++,500000,final,1000,19209288.0,135877.0,90.0,135877000.0,19299288.0,142.0
C++,500000,inicio,1,19209288.0,40.0,85.0,40.0,19209373.0,
C++,500000,inicio,1000,19209288.0,40.0,85.0,40000.0,19294288.0,
Python,100,ausente,1,1973.0,2479.0,611.0,2479.0,2584.0,2.0
Python,100,ausente,1000,1973.0,2479.0,611.0,2479000.0,612973.0,2.0
Python,100,centro,1,1973.0,1362.0,451.0,1362.0,2424.0,3.0
Python,100,centro,1000,1973.0,1362.0,451.0,1362000.0,452973.0,3.0
Python,100,final,1,1973.0,2484.0,391.0,2484.0,2364.0,1.0
Python,100,final,1000,1973.0,2484.0,391.0,2484000.0,392973.0,1.0
Python,100,inicio,1,1973.0,210.0,461.0,210.0,2434.0,
Python,100,inicio,1000,1973.0,210.0,461.0,210000.0,462973.0,
Python,1000,ausente,1,31271.5,35152.0,1092.0,35152.0,32363.5,1.0
Python,1000,ausente,1000,31271.5,35152.0,1092.0,35152000.0,1123271.5,1.0
Python,1000,centro,1,31271.5,15338.0,936.5,15338.0,32208.0,3.0
Python,1000,centro,1000,31271.5,15338.0,936.5,15338000.0,967771.5,3.0
Python,1000,final,1,31271.5,35172.0,846.0,35172.0,32117.5,1.0
Python,1000,final,1000,31271.5,35172.0,846.0,35172000.0,877271.5,1.0
Python,1000,inicio,1,31271.5,231.0,841.5,231.0,32113.0,
Python,1000,inicio,1000,31271.5,231.0,841.5,231000.0,872771.5,
Python,10000,ausente,1,930739.5,396440.0,1642.5,396440.0,932382.0,3.0
Python,10000,ausente,1000,930739.5,396440.0,1642.5,396440000.0,2573239.5,3.0
Python,10000,centro,1,930739.5,193879.0,1717.5,193879.0,932457.0,5.0
Python,10000,centro,1000,930739.5,193879.0,1717.5,193879000.0,2648239.5,5.0
Python,10000,final,1,930739.5,395979.0,1437.0,395979.0,932176.5,3.0
Python,10000,final,1000,930739.5,395979.0,1437.0,395979000.0,2367739.5,3.0
Python,10000,inicio,1,930739.5,255.5,1712.5,255.5,932452.0,
Python,10000,inicio,1000,930739.5,255.5,1712.5,255500.0,2643239.5,
Python,100000,ausente,1,11610246.5,4183473.0,2759.5,4183473.0,11613006.0,3.0
Python,100000,ausente,1000,11610246.5,4183473.0,2759.5,4183473000.0,14369746.5,3.0
Python,100000,centro,1,11610246.5,2075442.5,3270.0,2075442.5,11613516.5,6.0
Python,100000,centro,1000,11610246.5,2075442.5,3270.0,2075442500.0,14880246.5,6.0
Python,100000,final,1,11610246.5,4185722.0,2969.0,4185722.0,11613215.5,3.0
Python,100000,final,1000,11610246.5,4185722.0,2969.0,4185722000.0,14579246.5,3.0
Python,100000,inicio,1,11610246.5,640.5,3410.0,640.5,11613656.5,
Python,100000,inicio,1000,11610246.5,640.5,3410.0,640500.0,15020246.5,
Python,500000,ausente,1,73373086.5,21105963.0,10676.0,21105963.0,73383762.5,4.0
Python,500000,ausente,1000,73373086.5,21105963.0,10676.0,21105963000.0,84049086.5,4.0
Python,500000,centro,1,73373086.5,10697779.0,8012.0,10697779.0,73381098.5,7.0
Python,500000,centro,1000,73373086.5,10697779.0,8012.0,10697779000.0,81385086.5,7.0
Python,500000,final,1,73373086.5,21127870.5,8217.0,21127870.5,73381303.5,4.0
