lenguaje,n,algoritmo,escenario,repeticion,clave,posicion_origen,posicion,comparaciones,tiempo_ns
C++,100,lineal,centro,14,17329,50,50,51,90
C++,100,lineal,final,5,16968,99,99,100,70
C++,100,lineal,centro,4,17329,50,50,51,60
C++,100,lineal,inicio,13,12838,0,0,1,30
C++,100,lineal,final,16,16968,99,99,100,100
C++,100,lineal,centro,27,17329,50,50,51,40
C++,100,lineal,ausente,2,18236,-1,-1,100,60
C++,100,lineal,inicio,16,12838,0,0,1,20
C++,100,binaria,inicio,24,12838,0,8,5,71
C++,100,binaria,centro,10,17329,50,83,5,60
C++,100,binaria,ausente,13,18236,-1,-1,7,60
C++,100,binaria,ausente,19,18236,-1,-1,7,60
C++,100,lineal,centro,9,17329,50,50,51,70
C++,100,lineal,ausente,26,18236,-1,-1,100,80
C++,100,binaria,final,10,16968,99,80,4,40
C++,100,binaria,centro,4,17329,50,83,5,50
C++,100,lineal,inicio,5,12838,0,0,1,20
C++,100,binaria,ausente,22,18236,-1,-1,7,51
C++,100,lineal,ausente,11,18236,-1,-1,100,90
C++,100,lineal,inicio,15,12838,0,0,1,20
C++,100,lineal,ausente,12,18236,-1,-1,100,50
C++,100,lineal,centro,1,17329,50,50,51,41
C++,100,binaria,ausente,14,18236,-1,-1,7,30
C++,100,lineal,centro,15,17329,50,50,51,40
C++,100,lineal,centro,7,17329,50,50,51,40
C++,100,binaria,centro,17,17329,50,83,5,30
C++,100,binaria,final,14,16968,99,80,4,40
C++,100,binaria,final,25,16968,99,80,4,30
C++,100,binaria,final,19,16968,99,80,4,30
C++,100,lineal,final,25,16968,99,99,100,60
C++,100,binaria,centro,2,17329,50,83,5,30
C++,100,binaria,centro,1,17329,50,83,5,30
C++,100,lineal,inicio,8,12838,0,0,1,20
C++,100,binaria,inicio,29,12838,0,8,5,60
C++,100,lineal,final,18,16968,99,99,100,50
C++,100,binaria,final,27,16968,99,80,4,40
C++,100,lineal,final,2,16968,99,99,100,60
C++,100,binaria,centro,28,17329,50,83,5,40
C++,100,binaria,centro,23,17329,50,83,5,40
C++,100,lineal,ausente,9,18236,-1,-1,100,60
C++,100,lineal,inicio,14,12838,0,0,1,30
C++,100,binaria,ausente,28,18236,-1,-1,7,30
C++,100,lineal,inicio,21,12838,0,0,1,20
C++,100,binaria,centro,20,17329,50,83,5,40
C++,100,lineal,final,15,16968,99,99,100,51
C++,100,binaria,centro,16,17329,50,83,5,30
C++,100,binaria,inicio,3,12838,0,8,5,40
C++,100,lineal,final,28,16968,99,99,100,60
C++,100,lineal,final,30,16968,99,99,100,60
C++,100,lineal,centro,16,17329,50,50,51,50
C++,100,lineal,ausente,10,18236,-1,-1,100,60
C++,100,lineal,ausente,1,18236,-1,-1,100,60
C++,100,lineal,final,9,16968,99,99,100,60
C++,100,binaria,final,5,16968,99,80,4,30
C++,100,binaria,ausente,6,18236,-1,-1,7,30
C++,100,lineal,centro,12,17329,50,50,51,50
C++,100,lineal,final,4,16968,99,99,100,60
C++,100,binaria,inicio,22,12838,0,8,5,30
C++,100,lineal,ausente,29,18236,-1,-1,100,60
C++,100,binaria,inicio,13,12838,0,8,5,30
C++,100,lineal,final,27,16968,99,99,100,50
C++,100,lineal,centro,11,17329,50,50,51,30
C++,100,binaria,final,17,16968,99,80,4,40
C++,100,lineal,final,21,16968,99,99,100,50
C++,100,lineal,centro,10,17329,50,50,51,30
C++,100,lineal,final,11,16968,99,99,100,50
C++,100,binaria,centro,14,17329,50,83,5,30
C++,100,binaria,final,4,16968,99,80,4,40
C++,100,lineal,inicio,24,12838,0,0,1,20
C++,100,lineal,centro,2,17329,50,50,51,50
C++,100,lineal,final,24,16968,99,99,100,50
C++,100,binaria,final,24,16968,99,80,4,30
C++,100,binaria,inicio,20,12838,0,8,5,40
C++,100,binaria,inicio,26,12838,0,8,5,30
C++,100,binaria,inicio,9,12838,0,8,5,20
C++,100,lineal,inicio,18,12838,0,0,1,30
C++,100,binaria,centro,25,17329,50,83,5,41
C++,100,lineal,inicio,11,12838,0,0,1,30
C++,100,binaria,centro,12,17329,50,83,5,30
C++,100,lineal,final,1,16968,99,99,100,50
C++,100,binaria,centro,8,17329,50,83,5,30
C++,100,lineal,ausente,28,18236,-1,-1,100,60
C++,100,binaria,inicio,27,12838,0,8,5,30
C++,100,binaria,final,29,16968,99,80,4,40
C++,100,binaria,final,11,16968,99,80,4,30
C++,100,lineal,ausente,5,18236,-1,-1,100,50
C++,100,lineal,ausente,7,18236,-1,-1,100,60
C++,100,lineal,centro,19,17329,50,50,51,50
C++,100,binaria,inicio,8,12838,0,8,5,30
C++,100,lineal,final,14,16968,99,99,100,50
C++,100,binaria,ausente,24,18236,-1,-1,7,30
C++,100,binaria,ausente,23,18236,-1,-1,7,40
C++,100,lineal,centro,26,17329,50,50,51,40
C++,100,binaria,final,28,16968,99,80,4,30
C++,100,binaria,final,13,16968,99,80,4,30
C++,100,lineal,inicio,25,12838,0,0,1,20
C++,100,binaria,ausente,21,18236,-1,-1,7,30
C++,100,binaria,final,26,16968,99,80,4,40
C++,100,lineal,centro,28,17329,50,50,51,50
C++,100,binaria,centro,22,17329,50,83,5,40
C++,100,lineal,ausente,21,18236,-1,-1,100,50
C++,100,lineal,centro,29,17329,50,50,51,40
C++,100,lineal,final,10,16968,99,99,100,50
C++,100,binaria,final,3,16968,99,80,4,40
C++,100,binaria,final,30,16968,99,80,4,30
C++,100,binaria,centro,29,17329,50,83,5,30
C++,100,lineal,final,7,16968,99,99,100,50
C++,100,binaria,ausente,15,18236,-1,-1,7,30
C++,100,binaria,inicio,2,12838,0,8,5,30
C++,100,binaria,final,15,16968,99,80,4,30
C++,100,binaria,ausente,11,18236,-1,-1,7,40
C++,100,binaria,centro,19,17329,50,83,5,40
C++,100,lineal,ausente,3,18236,-1,-1,100,50
C++,100,lineal,inicio,1,12838,0,0,1,30
C++,100,binaria,final,9,16968,99,80,4,40
C++,100,binaria,inicio,28,12838,0,8,5,30
C++,100,binaria,inicio,21,12838,0,8,5,20
C++,100,binaria,ausente,20,18236,-1,-1,7,40
C++,100,lineal,final,6,16968,99,99,100,60
C++,100,lineal,final,8,16968,99,99,100,50
C++,100,binaria,inicio,30,12838,0,8,5,30
C++,100,binaria,ausente,30,18236,-1,-1,7,40
C++,100,lineal,centro,23,17329,50,50,51,40
C++,100,binaria,centro,24,17329,50,83,5,30
C++,100,lineal,centro,3,17329,50,50,51,40
C++,100,binaria,inicio,16,12838,0,8,5,30
C++,100,lineal,ausente,30,18236,-1,-1,100,60
C++,100,binaria,centro,26,17329,50,83,5,30
C++,100,binaria,inicio,15,12838,0,8,5,30
C++,100,binaria,final,2,16968,99,80,4,40
C++,100,binaria,ausente,2,18236,-1,-1,7,40
C++,100,binaria,inicio,10,12838,0,8,5,30
C++,100,lineal,final,3,16968,99,99,100,40
C++,100,binaria,ausente,4,18236,-1,-1,7,30
C++,100,binaria,ausente,7,18236,-1,-1,7,30
C++,100,lineal,inicio,26,12838,0,0,1,30
C++,100,binaria,centro,11,17329,50,83,5,30
C++,100,lineal,inicio,28,12838,0,0,1,30
C++,100,lineal,inicio,27,12838,0,0,1,30
C++,100,binaria,final,18,16968,99,80,4,30
C++,100,binaria,inicio,14,12838,0,8,5,30
C++,100,lineal,centro,20,17329,50,50,51,40
C++,100,binaria,ausente,25,18236,-1,-1,7,40
C++,100,binaria,centro,18,17329,50,83,5,40
C++,100,lineal,inicio,3,12838,0,0,1,30
C++,100,lineal,ausente,8,18236,-1,-1,100,60
C++,100,binaria,centro,27,17329,50,83,5,20
C++,100,binaria,centro,5,17329,50,83,5,30
C++,100,lineal,final,29,16968,99,99,100,60
C++,100,binaria,inicio,5,12838,0,8,5,30
C++,100,lineal,final,23,16968,99,99,100,40
C++,100,lineal,ausente,18,18236,-1,-1,100,60
C++,100,binaria,ausente,3,18236,-1,-1,7,40
C++,100,lineal,inicio,17,12838,0,0,1,30
C++,100,lineal,ausente,13,18236,-1,-1,100,61
C++,100,lineal,final,12,16968,99,99,100,60
C++,100,binaria,ausente,16,18236,-1,-1,7,30
C++,100,binaria,final,16,16968,99,80,4,30
C++,100,lineal,inicio,7,12838,0,0,1,20
C++,100,lineal,ausente,16,18236,-1,-1,100,40
C++,100,lineal,ausente,20,18236,-1,-1,100,60
C++,100,lineal,inicio,10,12838,0,0,1,30
C++,100,binaria,ausente,18,18236,-1,-1,7,40
C++,100,binaria,inicio,17,12838,0,8,5,30
C++,100,binaria,inicio,19,12838,0,8,5,30
C++,100,binaria,final,21,16968,99,80,4,30
C++,100,binaria,final,7,16968,99,80,4,30
C++,100,binaria,final,23,16968,99,80,4,30
C++,100,lineal,ausente,25,18236,-1,-1,100,60
C++,100,binaria,ausente,29,18236,-1,-1,7,30
C++,100,binaria,final,22,16968,99,80,4,40
C++,100,binaria,centro,21,17329,50,83,5,30
C++,100,lineal,ausente,17,18236,-1,-1,100,50
C++,100,binaria,final,8,16968,99,80,4,40
C++,100,lineal,ausente,14,18236,-1,-1,100,40
C++,100,lineal,centro,6,17329,50,50,51,50
C++,100,lineal,ausente,19,18236,-1,-1,100,50
C++,100,binaria,final,20,16968,99,80,4,40
C++,100,lineal,inicio,23,12838,0,0,1,20
C++,100,lineal,centro,22,17329,50,50,51,50
C++,100,binaria,centro,7,17329,50,83,5,31
C++,100,lineal,inicio,9,12838,0,0,1,20
C++,100,lineal,final,17,16968,99,99,100,50
C++,100,binaria,final,12,16968,99,80,4,40
C++,100,lineal,inicio,19,12838,0,0,1,20
C++,100,lineal,ausente,15,18236,-1,-1,100,60
C++,100,lineal,ausente,22,18236,-1,-1,100,50
C++,100,binaria,inicio,18,12838,0,8,5,30
C++,100,lineal,ausente,27,18236,-1,-1,100,60
C++,100,lineal,final,13,16968,99,99,100,60
C++,100,lineal,inicio,2,12838,0,0,1,30
C++,100,lineal,inicio,6,12838,0,0,1,20
C++,100,binaria,inicio,25,12838,0,8,5,50
C++,100,binaria,inicio,7,12838,0,8,5,30
C++,100,lineal,final,26,16968,99,99,100,60
C++,100,lineal,inicio,20,12838,0,0,1,20
C++,100,lineal,final,22,16968,99,99,100,60
C++,100,lineal,inicio,30,12838,0,0,1,20
C++,100,lineal,ausente,23,18236,-1,-1,100,50
C++,100,lineal,final,19,16968,99,99,100,60
C++,100,binaria,inicio,4,12838,0,8,5,30
C++,100,binaria,ausente,27,18236,-1,-1,7,30
C++,100,lineal,centro,21,17329,50,50,51,40
C++,100,binaria,inicio,6,12838,0,8,5,30
C++,100,binaria,ausente,5,18236,-1,-1,7,30
C++,100,lineal,ausente,24,18236,-1,-1,100,50
C++,100,lineal,ausente,4,18236,-1,-1,100,61
C++,100,binaria,ausente,12,18236,-1,-1,7,30
C++,100,binaria,centro,6,17329,50,83,5,30
C++,100,binaria,ausente,17,18236,-1,-1,7,30
C++,100,lineal,inicio,29,12838,0,0,1,20
C++,100,lineal,final,20,16968,99,99,100,50
C++,100,binaria,ausente,9,18236,-1,-1,7,40
C++,100,binaria,inicio,1,12838,0,8,5,20
C++,100,binaria,centro,15,17329,50,83,5,40
C++,100,binaria,centro,13,17329,50,83,5,30
C++,100,binaria,centro,9,17329,50,83,5,20
C++,100,binaria,centro,30,17329,50,83,5,40
C++,100,binaria,ausente,26,18236,-1,-1,7,40
C++,100,binaria,inicio,12,12838,0,8,5,30
C++,100,lineal,inicio,12,12838,0,0,1,30
C++,100,lineal,centro,24,17329,50,50,51,40
C++,100,binaria,centro,3,17329,50,83,5,30
C++,100,lineal,centro,17,17329,50,50,51,50
C++,100,binaria,ausente,8,18236,-1,-1,7,40
C++,100,binaria,ausente,10,18236,-1,-1,7,30
C++,100,lineal,centro,5,17329,50,50,51,40
C++,100,lineal,inicio,4,12838,0,0,1,20
C++,100,lineal,centro,13,17329,50,50,51,40
C++,100,lineal,inicio,22,12838,0,0,1,20
C++,100,lineal,ausente,6,18236,-1,-1,100,50
C++,100,binaria,inicio,23,12838,0,8,5,30
C++,100,binaria,ausente,1,18236,-1,-1,7,30
C++,100,binaria,final,1,16968,99,80,4,30
C++,100,binaria,final,6,16968,99,80,4,30
C++,100,lineal,centro,25,17329,50,50,51,50
C++,100,lineal,centro,18,17329,50,50,51,50
C++,100,lineal,centro,30,17329,50,50,51,40
C++,100,lineal,centro,8,17329,50,50,51,40
C++,100,binaria,inicio,11,12838,0,8,5,20
C++,1000,binaria,ausente,22,18288,-1,-1,10,60
C++,1000,binaria,final,27,15130,999,502,8,70
C++,1000,lineal,ausente,1,18288,-1,-1,1000,301
C++,1000,binaria,centro,6,14665,500,406,9,100
C++,1000,binaria,final,19,15130,999,502,8,30
C++,1000,lineal,centro,24,14665,500,500,501,171
C++,1000,lineal,centro,23,14665,500,500,501,170
C++,1000,lineal,inicio,26,13405,0,0,1,20
C++,1000,binaria,final,8,15130,999,502,8,30
C++,1000,lineal,final,1,15130,999,999,1000,300
C++,1000,binaria,inicio,23,13405,0,187,9,70
C++,1000,lineal,ausente,22,18288,-1,-1,1000,301
C++,1000,lineal,centro,10,14665,500,500,501,170
C++,1000,lineal,ausente,9,18288,-1,-1,1000,300
C++,1000,binaria,ausente,2,18288,-1,-1,10,60
C++,1000,lineal,inicio,21,13405,0,0,1,20
C++,1000,binaria,inicio,10,13405,0,187,9,51
C++,1000,lineal,inicio,12,13405,0,0,1,30
C++,1000,binaria,inicio,30,13405,0,187,9,30
C++,1000,binaria,centro,15,14665,500,406,9,40
C++,1000,binaria,final,21,15130,999,502,8,40
C++,1000,lineal,inicio,1,13405,0,0,1,20
C++,1000,lineal,inicio,20,13405,0,0,1,30
C++,1000,binaria,centro,25,14665,500,406,9,30
C++,1000,binaria,inicio,22,13405,0,187,9,30
C++,1000,lineal,ausente,28,18288,-1,-1,1000,301
C++,1000,binaria,inicio,27,13405,0,187,9,30
C++,1000,lineal,centro,4,14665,500,500,501,160
C++,1000,lineal,centro,2,14665,500,500,501,171
C++,1000,binaria,final,16,15130,999,502,8,30
C++,1000,binaria,inicio,9,13405,0,187,9,30
C++,1000,lineal,inicio,27,13405,0,0,1,30
C++,1000,lineal,final,3,15130,999,999,1000,301
C++,1000,binaria,ausente,1,18288,-1,-1,10,40
C++,1000,binaria,centro,8,14665,500,406,9,40
C++,1000,lineal,final,10,15130,999,999,1000,300
C++,1000,binaria,inicio,14,13405,0,187,9,30
C++,1000,lineal,ausente,12,18288,-1,-1,1000,301
C++,1000,lineal,ausente,6,18288,-1,-1,1000,301
C++,1000,lineal,ausente,13,18288,-1,-1,1000,300
C++,1000,lineal,inicio,17,13405,0,0,1,30
C++,1000,binaria,ausente,24,18288,-1,-1,10,40
C++,1000,binaria,inicio,13,13405,0,187,9,40
