lenguaje,n,algoritmo,escenario,repeticion,clave,posicion_origen,posicion,comparaciones,tiempo_ns
Python,100,binaria,ausente,18,18236,-1,-1,7,1162
Python,100,lineal,ausente,20,18236,-1,-1,100,2914
Python,100,lineal,centro,16,17329,50,50,51,1583
Python,100,lineal,final,15,16968,99,99,100,2554
Python,100,lineal,centro,27,17329,50,50,51,1402
Python,100,binaria,inicio,28,12838,0,8,5,821
Python,100,lineal,final,16,16968,99,99,100,2554
Python,100,lineal,ausente,4,18236,-1,-1,100,2524
Python,100,lineal,ausente,10,18236,-1,-1,100,2514
Python,100,binaria,centro,17,17329,50,83,5,571
Python,100,binaria,ausente,26,18236,-1,-1,7,591
Python,100,binaria,ausente,6,18236,-1,-1,7,600
Python,100,binaria,centro,5,17329,50,83,5,431
Python,100,lineal,centro,26,17329,50,50,51,1372
Python,100,lineal,inicio,9,12838,0,0,1,230
Python,100,binaria,final,16,16968,99,80,4,601
Python,100,lineal,ausente,8,18236,-1,-1,100,2523
Python,100,binaria,inicio,13,12838,0,8,5,521
Python,100,binaria,centro,12,17329,50,83,5,471
Python,100,binaria,centro,9,17329,50,83,5,470
Python,100,lineal,ausente,2,18236,-1,-1,100,2504
Python,100,binaria,centro,13,17329,50,83,5,451
Python,100,lineal,final,7,16968,99,99,100,2443
Python,100,lineal,inicio,17,12838,0,0,1,211
Python,100,lineal,centro,21,17329,50,50,51,1322
Python,100,binaria,final,10,16968,99,80,4,420
Python,100,lineal,final,25,16968,99,99,100,2494
Python,100,binaria,centro,3,17329,50,83,5,450
Python,100,binaria,final,28,16968,99,80,4,381
Python,100,lineal,final,30,16968,99,99,100,2463
Python,100,lineal,ausente,30,18236,-1,-1,100,2424
Python,100,binaria,inicio,16,12838,0,8,5,501
Python,100,binaria,final,15,16968,99,80,4,391
Python,100,lineal,ausente,22,18236,-1,-1,100,2434
Python,100,binaria,final,9,16968,99,80,4,380
Python,100,lineal,inicio,1,12838,0,0,1,210
Python,100,binaria,inicio,18,12838,0,8,5,461
Python,100,binaria,centro,30,17329,50,83,5,450
Python,100,binaria,centro,26,17329,50,83,5,511
Python,100,binaria,inicio,21,12838,0,8,5,490
Python,100,lineal,centro,4,17329,50,50,51,1342
Python,100,binaria,final,12,16968,99,80,4,370
Python,100,lineal,centro,30,17329,50,50,51,1362
Python,100,binaria,centro,25,17329,50,83,5,431
Python,100,binaria,ausente,24,18236,-1,-1,7,802
Python,100,binaria,centro,28,17329,50,83,5,511
Python,100,binaria,centro,21,17329,50,83,5,441
Python,100,lineal,inicio,2,12838,0,0,1,251
Python,100,lineal,ausente,27,18236,-1,-1,100,2533
Python,100,lineal,final,12,16968,99,99,100,2494
Python,100,binaria,ausente,8,18236,-1,-1,7,641
Python,100,binaria,final,1,16968,99,80,4,401
Python,100,lineal,centro,19,17329,50,50,51,1382
Python,100,lineal,ausente,26,18236,-1,-1,100,2503
Python,100,lineal,centro,6,17329,50,50,51,1362
Python,100,lineal,inicio,28,12838,0,0,1,221
Python,100,binaria,centro,4,17329,50,83,5,471
Python,100,lineal,centro,9,17329,50,50,51,1372
Python,100,binaria,inicio,7,12838,0,8,5,501
Python,100,binaria,centro,15,17329,50,83,5,450
Python,100,binaria,inicio,1,12838,0,8,5,511
Python,100,lineal,centro,25,17329,50,50,51,1432
Python,100,binaria,inicio,9,12838,0,8,5,430
Python,100,lineal,inicio,14,12838,0,0,1,220
Python,100,lineal,centro,5,17329,50,50,51,1382
Python,100,binaria,inicio,19,12838,0,8,5,441
Python,100,lineal,final,6,16968,99,99,100,2554
Python,100,lineal,centro,18,17329,50,50,51,1383
Python,100,binaria,final,2,16968,99,80,4,391
Python,100,binaria,ausente,19,18236,-1,-1,7,621
Python,100,binaria,ausente,28,18236,-1,-1,7,611
Python,100,binaria,inicio,15,12838,0,8,5,461
Python,100,lineal,final,11,16968,99,99,100,2513
Python,100,binaria,ausente,11,18236,-1,-1,7,631
Python,100,binaria,ausente,17,18236,-1,-1,7,581
Python,100,lineal,centro,20,17329,50,50,51,1352
Python,100,binaria,ausente,12,18236,-1,-1,7,581
Python,100,binaria,inicio,27,12838,0,8,5,471
Python,100,binaria,centro,6,17329,50,83,5,480
Python,100,binaria,centro,1,17329,50,83,5,471
Python,100,lineal,inicio,27,12838,0,0,1,210
Python,100,lineal,final,28,16968,99,99,100,2444
Python,100,lineal,centro,22,17329,50,50,51,1342
Python,100,lineal,ausente,23,18236,-1,-1,100,2454
Python,100,binaria,centro,24,17329,50,83,5,450
Python,100,binaria,centro,19,17329,50,83,5,421
Python,100,binaria,ausente,13,18236,-1,-1,7,580
Python,100,binaria,ausente,27,18236,-1,-1,7,711
Python,100,binaria,centro,18,17329,50,83,5,481
Python,100,lineal,centro,13,17329,50,50,51,1342
Python,100,binaria,inicio,12,12838,0,8,5,481
Python,100,binaria,centro,7,17329,50,83,5,491
Python,100,binaria,final,24,16968,99,80,4,381
Python,100,binaria,centro,27,17329,50,83,5,420
Python,100,lineal,ausente,15,18236,-1,-1,100,2464
Python,100,binaria,final,29,16968,99,80,4,480
Python,100,lineal,final,17,16968,99,99,100,2534
Python,100,binaria,ausente,4,18236,-1,-1,7,661
Python,100,lineal,ausente,12,18236,-1,-1,100,2514
Python,100,lineal,centro,8,17329,50,50,51,1362
Python,100,binaria,ausente,30,18236,-1,-1,7,651
Python,100,lineal,inicio,24,12838,0,0,1,210
Python,100,lineal,centro,15,17329,50,50,51,1352
Python,100,binaria,inicio,11,12838,0,8,5,520
Python,100,lineal,centro,12,17329,50,50,51,1352
