lenguaje,n,repeticion,tiempo_ns
C++,100,1,2563
C++,100,2,1572
C++,100,3,802
C++,100,4,551
C++,100,5,420
C++,100,6,350
C++,100,7,341
C++,100,8,340
C++,100,9,330
C++,100,10,331
C++,100,11,331
C++,100,12,330
C++,100,13,331
C++,100,14,331
C++,100,15,330
C++,100,16,331
C++,100,17,331
C++,100,18,330
C++,100,19,331
C++,100,20,331
C++,100,21,330
C++,100,22,331
C++,100,23,331
C++,100,24,330
C++,100,25,331
C++,100,26,331
C++,100,27,330
C++,100,28,331
C++,100,29,331
C++,100,30,330
C++,1000,1,29394
C++,1000,2,16274
C++,1000,3,10366
C++,1000,4,8633
C++,1000,5,8042
C++,1000,6,7822
C++,1000,7,7732
C++,1000,8,7491
C++,1000,9,7461
C++,1000,10,7431
C++,1000,11,7481
C++,1000,12,7361
C++,1000,13,7391
C++,1000,14,7371
C++,1000,15,7431
C++,1000,16,7281
C++,1000,17,7360
C++,1000,18,7321
C++,1000,19,7291
C++,1000,20,7311
C++,1000,21,7371
C++,1000,22,7271
C++,1000,23,7281
C++,1000,24,7261
C++,1000,25,7281
C++,1000,26,7290
C++,1000,27,7330
C++,1000,28,7271
C++,1000,29,7321
C++,1000,30,7271
C++,10000,1,353654
C++,10000,2,343780
C++,10000,3,353344
C++,10000,4,355307
C++,10000,5,405271
C++,10000,6,331641
C++,10000,7,330851
C++,10000,8,342719
C++,10000,9,326774
C++,10000,10,326073
C++,10000,11,338923
C++,10000,12,323149
C++,10000,13,333404
C++,10000,14,335938
C++,10000,15,337440
C++,10000,16,489225
C++,10000,17,340154
C++,10000,18,320105
C++,10000,19,318232
C++,10000,20,386323
C++,10000,21,318783
C++,10000,22,318041
C++,10000,23,337891
C++,10000,24,316629
C++,10000,25,320125
C++,10000,26,350871
C++,10000,27,330861
C++,10000,28,315558
C++,10000,29,330771
C++,10000,30,314266
C++,100000,1,3736731
C++,100000,2,3771293
C++,100000,3,3746747
C++,100000,4,3800065
C++,100000,5,3872513
C++,100000,6,4088343
C++,100000,7,3782219
C++,100000,8,3773837
C++,100000,9,4032361
C++,100000,10,3905903
C++,100000,11,3758724
C++,100000,12,4385834
C++,100000,13,3958430
C++,100000,14,3774177
C++,100000,15,4061654
C++,100000,16,3789951
C++,100000,17,3768299
C++,100000,18,3848738
C++,100000,19,3913854
C++,100000,20,3831913
C++,100000,21,4771016
C++,100000,22,4513243
C++,100000,23,3940624
C++,100000,24,3819545
C++,100000,25,3801357
C++,100000,26,3823771
C++,100000,27,3818974
C++,100000,28,3816400
C++,100000,29,3812384
C++,100000,30,4046170
C++,500000,1,21316834
C++,500000,2,20060912
C++,500000,3,19557665
C++,500000,4,21884535
C++,500000,5,19158493
C++,500000,6,18775335
C++,500000,7,19370327
C++,500000,8,21151649
C++,500000,9,18871537
C++,500000,10,18807322
C++,500000,11,19260083
C++,500000,12,18979908
C++,500000,13,19053577
C++,500000,14,18817176
C++,500000,15,18769867
C++,500000,16,18986188
C++,500000,17,19073967
C++,500000,18,18842284
C++,500000,19,18865578
C++,500000,20,19084524
C++,500000,21,18793071
C++,500000,22,18625873
C++,500000,23,21414634
C++,500000,24,19955285
C++,500000,25,22422844
C++,500000,26,20868399
C++,500000,27,22178051
C++,500000,28,19483535
C++,500000,29,21467076
C++,500000,30,20010096
