lenguaje,n,repeticiones,promedio_ns,mediana_ns,minimo_ns,maximo_ns
C++,100,30,473.76666666666665,331.0,330,2563
C++,1000,30,8573.1,7366.0,7261,29394
C++,10000,30,341536.76666666666,332522.5,314266,489225
C++,100000,30,3925502.3333333335,3821658.0,3736731,4771016
C++,500000,30,19796887.5,19209288.0,18625873,22422844
Python,100,30,2214.9666666666667,1973.0,1953,6009
Python,1000,30,38373.53333333333,31271.5,30946,106539
Python,10000,30,965578.3333333334,930739.5,859829,1290239
Python,100000,30,11665974.233333332,11610246.5,11071430,13799919
Python,500000,30,74717005.76666667,73373086.5,68212335,101141583
