lenguaje,n,algoritmo,escenario,repeticiones,promedio_ns,mediana_ns,minimo_ns,maximo_ns,comparaciones_promedio,comparaciones_mediana,comparaciones_minimo,comparaciones_maximo
C++,100,binaria,ausente,30,36.36666666666667,30.0,30,60,7.0,7.0,7,7
C++,100,binaria,centro,30,34.06666666666667,30.0,20,60,5.0,5.0,5,5
C++,100,binaria,final,30,34.666666666666664,30.0,30,40,4.0,4.0,4,4
C++,100,binaria,inicio,30,32.36666666666667,30.0,20,71,5.0,5.0,5,5
C++,100,lineal,ausente,30,57.06666666666667,60.0,40,90,100.0,100.0,100,100
C++,100,lineal,centro,30,46.03333333333333,40.0,30,90,51.0,51.0,51,51
C++,100,lineal,final,30,56.03333333333333,55.5,40,100,100.0,100.0,100,100
C++,100,lineal,inicio,30,24.333333333333332,20.0,20,30,1.0,1.0,1,1
C++,1000,binaria,ausente,30,37.43333333333333,30.5,30,60,10.0,10.0,10,10
C++,1000,binaria,centro,30,37.46666666666667,35.5,30,100,9.0,9.0,9,9
C++,1000,binaria,final,30,35.333333333333336,30.0,20,70,8.0,8.0,8,8
C++,1000,binaria,inicio,30,35.733333333333334,30.0,30,70,9.0,9.0,9,9
C++,1000,lineal,ausente,30,298.96666666666664,300.0,290,301,1000.0,1000.0,1000,1000
C++,1000,lineal,centro,30,165.66666666666666,170.0,160,171,501.0,501.0,501,501
C++,1000,lineal,final,30,300.6333333333333,300.0,291,311,1000.0,1000.0,1000,1000
C++,1000,lineal,inicio,30,25.766666666666666,30.0,20,31,1.0,1.0,1,1
C++,10000,binaria,ausente,30,45.1,40.0,30,100,14.0,14.0,14,14
C++,10000,binaria,centro,30,48.666666666666664,40.0,30,150,14.0,14.0,14,14
C++,10000,binaria,final,30,45.333333333333336,40.0,30,130,12.0,12.0,12,12
C++,10000,binaria,inicio,30,46.06666666666667,40.0,30,120,14.0,14.0,14,14
C++,10000,lineal,ausente,30,2740.366666666667,2744.0,2734,2754,10000.0,10000.0,10000,10000
C++,10000,lineal,centro,30,1431.4333333333334,1392.0,1382,2523,5001.0,5001.0,5001,5001
C++,10000,lineal,final,30,5315.9,2744.0,2734,74481,10000.0,10000.0,10000,10000
C++,10000,lineal,inicio,30,26.7,30.0,20,40,1.0,1.0,1,1
C++,100000,binaria,ausente,30,55.43333333333333,50.0,40,100,17.0,17.0,17,17
C++,100000,binaria,centro,30,67.43333333333334,55.0,40,281,17.0,17.0,17,17
C++,100000,binaria,final,30,50.06666666666667,50.0,30,80,16.0,16.0,16,16
C++,100000,binaria,inicio,30,58.8,50.0,30,130,16.0,16.0,16,16
C++,100000,lineal,ausente,30,29148.266666666666,27140.0,27121,56203,100000.0,100000.0,100000,100000
C++,100000,lineal,centro,30,15747.9,13590.0,13560,77975,50001.0,50001.0,50001,50001
C++,100000,lineal,final,30,27182.2,27140.0,27120,27521,100000.0,100000.0,100000,100000
C++,100000,lineal,inicio,30,29.366666666666667,30.0,20,40,1.0,1.0,1,1
C++,500000,binaria,ausente,30,89.16666666666667,70.0,40,230,19.0,19.0,19,19
C++,500000,binaria,centro,30,134.16666666666666,75.5,40,361,18.0,18.0,18,18
C++,500000,binaria,final,30,115.23333333333333,90.0,40,271,19.0,19.0,19,19
C++,500000,binaria,inicio,30,114.1,85.0,40,281,19.0,19.0,19,19
C++,500000,lineal,ausente,30,165034.9,135951.5,135752,482817,500000.0,500000.0,500000,500000
C++,500000,lineal,centro,30,71691.86666666667,67980.0,67881,102882,250001.0,250001.0,250001,250001
C++,500000,lineal,final,30,149798.9,135877.0,135742,252825,500000.0,500000.0,500000,500000
C++,500000,lineal,inicio,30,34.46666666666667,40.0,20,80,1.0,1.0,1,1
Python,100,binaria,ausente,30,632.9333333333333,611.0,551,1162,7.0,7.0,7,7
Python,100,binaria,centro,30,460.6333333333333,451.0,390,571,5.0,5.0,5,5
Python,100,binaria,final,30,401.56666666666666,391.0,360,601,4.0,4.0,4,4
Python,100,binaria,inicio,30,476.4,461.0,410,821,5.0,5.0,5,5
Python,100,lineal,ausente,30,2512.766666666667,2479.0,2424,2914,100.0,100.0,100,100
Python,100,lineal,centro,30,1376.0666666666666,1362.0,1322,1583,51.0,51.0,51,51
Python,100,lineal,final,30,2489.133333333333,2484.0,2443,2554,100.0,100.0,100,100
Python,100,lineal,inicio,30,216.33333333333334,210.0,200,271,1.0,1.0,1,1
Python,1000,binaria,ausente,30,1135.8,1092.0,1001,2013,10.0,10.0,10,10
Python,1000,binaria,centro,30,1013.9,936.5,872,1863,9.0,9.0,9,9
Python,1000,binaria,final,30,877.5333333333333,846.0,761,1242,8.0,8.0,8,8
Python,1000,binaria,inicio,30,901.6666666666666,841.5,731,1522,9.0,9.0,9,9
Python,1000,lineal,ausente,30,35248.53333333333,35152.0,34812,38177,1000.0,1000.0,1000,1000
Python,1000,lineal,centro,30,17005.966666666667,15338.0,15182,53800,501.0,501.0,501,501
Python,1000,lineal,final,30,37947.2,35172.0,34862,98657,1000.0,1000.0,1000,1000
Python,1000,lineal,inicio,30,244.33333333333334,231.0,191,441,1.0,1.0,1,1
Python,10000,binaria,ausente,30,1796.1,1642.5,1482,3666,14.0,14.0,14,14
Python,10000,binaria,centro,30,1840.1666666666667,1717.5,1412,4557,14.0,14.0,14,14
Python,10000,binaria,final,30,1556.9666666666667,1437.0,1272,2814,12.0,12.0,12,12
Python,10000,binaria,inicio,30,1768.2,1712.5,1432,3555,14.0,14.0,14,14
Python,10000,lineal,ausente,30,404916.76666666666,396440.0,388287,615296,10000.0,10000.0,10000,10000
Python,10000,lineal,centro,30,204223.3,193879.0,192627,352334,5001.0,5001.0,5001,5001
Python,10000,lineal,final,30,421701.43333333335,395979.0,387777,719861,10000.0,10000.0,10000,10000
Python,10000,lineal,inicio,30,308.1666666666667,255.5,200,591,1.0,1.0,1,1
Python,100000,binaria,ausente,30,3120.9666666666667,2759.5,1763,6159,17.0,17.0,17,17
Python,100000,binaria,centro,30,3389.0333333333333,3270.0,1642,6590,17.0,17.0,17,17
Python,100000,binaria,final,30,3175.4,2969.0,1713,5318,16.0,16.0,16,16
Python,100000,binaria,inicio,30,4040.133333333333,3410.0,2114,16905,16.0,16.0,16,16
Python,100000,lineal,ausente,30,4285207.4,4183473.0,4064897,5592980,100000.0,100000.0,100000,100000
Python,100000,lineal,centro,30,2136248.2666666666,2075442.5,2008438,3066512,50001.0,50001.0,50001,50001
Python,100000,lineal,final,30,4267547.166666667,4185722.0,4068602,5349138,100000.0,100000.0,100000,100000
Python,100000,lineal,inicio,30,1097.6666666666667,640.5,231,16334,1.0,1.0,1,1
Python,500000,binaria,ausente,30,9380.1,10676.0,2013,17416,19.0,19.0,19,19
Python,500000,binaria,centro,30,8515.966666666667,8012.0,1702,16835,18.0,18.0,18,18
Python,500000,binaria,final,30,10014.833333333334,8217.0,2003,56755,19.0,19.0,19,19
Python,500000,binaria,inicio,30,8383.8,7346.0,1902,26880,19.0,19.0,19,19
Python,500000,lineal,ausente,30,22139996.233333334,21105963.0,20326157,36412999,500000.0,500000.0,500000,500000
Python,500000,lineal,centro,30,11060186.466666667,10697779.0,10188216,15133754,250001.0,250001.0,250001,250001
Python,500000,lineal,final,30,21714931.9,21127870.5,20189795,27381112,500000.0,500000.0,500000,500000
Python,500000,lineal,inicio,30,1063.2333333333333,1147.0,190,1953,1.0,1.0,1,1
